
Feature reduction based on permutation importance ...
[306]	validation_0-rmse:0.09595	validation_1-rmse:0.09595
[307]	validation_0-rmse:0.09588	validation_1-rmse:0.09588
[308]	validation_0-rmse:0.09568	validation_1-rmse:0.09568
[309]	validation_0-rmse:0.09565	validation_1-rmse:0.09565
[310]	validation_0-rmse:0.09560	validation_1-rmse:0.09560
[311]	validation_0-rmse:0.09552	validation_1-rmse:0.09552
[312]	validation_0-rmse:0.09548	validation_1-rmse:0.09548
[313]	validation_0-rmse:0.09547	validation_1-rmse:0.09547
[314]	validation_0-rmse:0.09541	validation_1-rmse:0.09541
[315]	validation_0-rmse:0.09538	validation_1-rmse:0.09538
[316]	validation_0-rmse:0.09533	validation_1-rmse:0.09533
[317]	validation_0-rmse:0.09526	validation_1-rmse:0.09526
[318]	validation_0-rmse:0.09521	validation_1-rmse:0.09521
[319]	validation_0-rmse:0.09513	validation_1-rmse:0.09513
[320]	validation_0-rmse:0.09509	validation_1-rmse:0.09509
[321]	validation_0-rmse:0.09500	validation_1-rmse:0.09500
[322]	validation_0-rmse:0.09495	validation_1-rmse:0.09495
[323]	validation_0-rmse:0.09488	validation_1-rmse:0.09488
[324]	validation_0-rmse:0.09483	validation_1-rmse:0.09483
[325]	validation_0-rmse:0.09470	validation_1-rmse:0.09470
[326]	validation_0-rmse:0.09467	validation_1-rmse:0.09467
[327]	validation_0-rmse:0.09458	validation_1-rmse:0.09458
[328]	validation_0-rmse:0.09451	validation_1-rmse:0.09451
[329]	validation_0-rmse:0.09441	validation_1-rmse:0.09441
[330]	validation_0-rmse:0.09436	validation_1-rmse:0.09436
[331]	validation_0-rmse:0.09418	validation_1-rmse:0.09418
[332]	validation_0-rmse:0.09414	validation_1-rmse:0.09414
[333]	validation_0-rmse:0.09411	validation_1-rmse:0.09411
[334]	validation_0-rmse:0.09406	validation_1-rmse:0.09406
[335]	validation_0-rmse:0.09401	validation_1-rmse:0.09401
[336]	validation_0-rmse:0.09396	validation_1-rmse:0.09396
[337]	validation_0-rmse:0.09392	validation_1-rmse:0.09392
[338]	validation_0-rmse:0.09386	validation_1-rmse:0.09386
[339]	validation_0-rmse:0.09383	validation_1-rmse:0.09383
[340]	validation_0-rmse:0.09379	validation_1-rmse:0.09379
[341]	validation_0-rmse:0.09377	validation_1-rmse:0.09377
[342]	validation_0-rmse:0.09373	validation_1-rmse:0.09373
[343]	validation_0-rmse:0.09367	validation_1-rmse:0.09367
[344]	validation_0-rmse:0.09367	validation_1-rmse:0.09367
[345]	validation_0-rmse:0.09363	validation_1-rmse:0.09363
[346]	validation_0-rmse:0.09358	validation_1-rmse:0.09358
[347]	validation_0-rmse:0.09353	validation_1-rmse:0.09353
[348]	validation_0-rmse:0.09344	validation_1-rmse:0.09344
[349]	validation_0-rmse:0.09337	validation_1-rmse:0.09337
[350]	validation_0-rmse:0.09332	validation_1-rmse:0.09332
[351]	validation_0-rmse:0.09322	validation_1-rmse:0.09322
[352]	validation_0-rmse:0.09312	validation_1-rmse:0.09312
[353]	validation_0-rmse:0.09307	validation_1-rmse:0.09307
[354]	validation_0-rmse:0.09298	validation_1-rmse:0.09298
[355]	validation_0-rmse:0.09292	validation_1-rmse:0.09292
[356]	validation_0-rmse:0.09285	validation_1-rmse:0.09285
