
Training final model ...
>>> Training model <class 'xgboost.sklearn.XGBRegressor'> based on data between 2005-01-01 00:45:00 and 2024-12-31 23:15:00 ...
>>> Fitting model to training data ...
[333]	validation_0-rmse:0.09429	validation_1-rmse:0.10540
[334]	validation_0-rmse:0.09426	validation_1-rmse:0.10538
[335]	validation_0-rmse:0.09417	validation_1-rmse:0.10531
[336]	validation_0-rmse:0.09404	validation_1-rmse:0.10520
[337]	validation_0-rmse:0.09400	validation_1-rmse:0.10519
[338]	validation_0-rmse:0.09394	validation_1-rmse:0.10513
[339]	validation_0-rmse:0.09389	validation_1-rmse:0.10510
[340]	validation_0-rmse:0.09376	validation_1-rmse:0.10502
[341]	validation_0-rmse:0.09370	validation_1-rmse:0.10496
[342]	validation_0-rmse:0.09366	validation_1-rmse:0.10495
[343]	validation_0-rmse:0.09360	validation_1-rmse:0.10491
[344]	validation_0-rmse:0.09357	validation_1-rmse:0.10491
[345]	validation_0-rmse:0.09354	validation_1-rmse:0.10488
[346]	validation_0-rmse:0.09349	validation_1-rmse:0.10486
[347]	validation_0-rmse:0.09347	validation_1-rmse:0.10485
[348]	validation_0-rmse:0.09344	validation_1-rmse:0.10482
[349]	validation_0-rmse:0.09336	validation_1-rmse:0.10478
[350]	validation_0-rmse:0.09329	validation_1-rmse:0.10472
[351]	validation_0-rmse:0.09322	validation_1-rmse:0.10469
[352]	validation_0-rmse:0.09311	validation_1-rmse:0.10459
[353]	validation_0-rmse:0.09303	validation_1-rmse:0.10452
[354]	validation_0-rmse:0.09287	validation_1-rmse:0.10440
[355]	validation_0-rmse:0.09278	validation_1-rmse:0.10435
[356]	validation_0-rmse:0.09265	validation_1-rmse:0.10422
[357]	validation_0-rmse:0.09262	validation_1-rmse:0.10423
[358]	validation_0-rmse:0.09256	validation_1-rmse:0.10418
[359]	validation_0-rmse:0.09252	validation_1-rmse:0.10418
[360]	validation_0-rmse:0.09247	validation_1-rmse:0.10416
[361]	validation_0-rmse:0.09240	validation_1-rmse:0.10411
[362]	validation_0-rmse:0.09232	validation_1-rmse:0.10406
[363]	validation_0-rmse:0.09224	validation_1-rmse:0.10400
[364]	validation_0-rmse:0.09220	validation_1-rmse:0.10398
[365]	validation_0-rmse:0.09212	validation_1-rmse:0.10392
