
Feature reduction based on permutation importance ...
[415]	validation_0-rmse:79.26241	validation_1-rmse:79.26241
[416]	validation_0-rmse:79.23661	validation_1-rmse:79.23661
[417]	validation_0-rmse:79.18263	validation_1-rmse:79.18263
[418]	validation_0-rmse:79.08004	validation_1-rmse:79.08004
[419]	validation_0-rmse:79.03319	validation_1-rmse:79.03319
[420]	validation_0-rmse:78.99542	validation_1-rmse:78.99542
[421]	validation_0-rmse:78.94747	validation_1-rmse:78.94747
[422]	validation_0-rmse:78.90634	validation_1-rmse:78.90634
[423]	validation_0-rmse:78.88560	validation_1-rmse:78.88560
[424]	validation_0-rmse:78.84481	validation_1-rmse:78.84481
[425]	validation_0-rmse:78.83038	validation_1-rmse:78.83038
[426]	validation_0-rmse:78.78213	validation_1-rmse:78.78213
[427]	validation_0-rmse:78.74261	validation_1-rmse:78.74261
[428]	validation_0-rmse:78.70173	validation_1-rmse:78.70173
[429]	validation_0-rmse:78.66534	validation_1-rmse:78.66534
[430]	validation_0-rmse:78.64349	validation_1-rmse:78.64349
[431]	validation_0-rmse:78.58675	validation_1-rmse:78.58675
[432]	validation_0-rmse:78.57277	validation_1-rmse:78.57277
[433]	validation_0-rmse:78.56613	validation_1-rmse:78.56613
