
Training final model ...
>>> Training model <class 'xgboost.sklearn.XGBRegressor'> based on data between 2005-01-01 00:45:00 and 2024-12-31 23:15:00 ...
>>> Fitting model to training data ...
[375]	validation_0-rmse:1.90988	validation_1-rmse:2.01831
[376]	validation_0-rmse:1.90876	validation_1-rmse:2.01732
[377]	validation_0-rmse:1.90744	validation_1-rmse:2.01618
[378]	validation_0-rmse:1.90689	validation_1-rmse:2.01588
[379]	validation_0-rmse:1.90557	validation_1-rmse:2.01469
[380]	validation_0-rmse:1.90477	validation_1-rmse:2.01405
[381]	validation_0-rmse:1.90302	validation_1-rmse:2.01212
[382]	validation_0-rmse:1.90228	validation_1-rmse:2.01138
[383]	validation_0-rmse:1.90095	validation_1-rmse:2.01019
[384]	validation_0-rmse:1.90017	validation_1-rmse:2.00950
[385]	validation_0-rmse:1.89958	validation_1-rmse:2.00899
[386]	validation_0-rmse:1.89887	validation_1-rmse:2.00829
[387]	validation_0-rmse:1.89804	validation_1-rmse:2.00759
[388]	validation_0-rmse:1.89588	validation_1-rmse:2.00553
[389]	validation_0-rmse:1.89500	validation_1-rmse:2.00481
[390]	validation_0-rmse:1.89429	validation_1-rmse:2.00415
[391]	validation_0-rmse:1.89371	validation_1-rmse:2.00368
[392]	validation_0-rmse:1.89317	validation_1-rmse:2.00320
[393]	validation_0-rmse:1.89230	validation_1-rmse:2.00251
[394]	validation_0-rmse:1.89168	validation_1-rmse:2.00211
[395]	validation_0-rmse:1.89028	validation_1-rmse:2.00083
[396]	validation_0-rmse:1.88932	validation_1-rmse:1.99990
[397]	validation_0-rmse:1.88861	validation_1-rmse:1.99953
[398]	validation_0-rmse:1.88754	validation_1-rmse:1.99859
[399]	validation_0-rmse:1.88714	validation_1-rmse:1.99854
[400]	validation_0-rmse:1.88661	validation_1-rmse:1.99797
[401]	validation_0-rmse:1.88612	validation_1-rmse:1.99767
[402]	validation_0-rmse:1.88474	validation_1-rmse:1.99632
[403]	validation_0-rmse:1.88332	validation_1-rmse:1.99513
[404]	validation_0-rmse:1.88186	validation_1-rmse:1.99358
[405]	validation_0-rmse:1.88150	validation_1-rmse:1.99340
[406]	validation_0-rmse:1.88132	validation_1-rmse:1.99325
[407]	validation_0-rmse:1.88018	validation_1-rmse:1.99222
[408]	validation_0-rmse:1.87969	validation_1-rmse:1.99179
[409]	validation_0-rmse:1.87921	validation_1-rmse:1.99140
[410]	validation_0-rmse:1.87828	validation_1-rmse:1.99078
[411]	validation_0-rmse:1.87684	validation_1-rmse:1.98932
[412]	validation_0-rmse:1.87564	validation_1-rmse:1.98817
[413]	validation_0-rmse:1.87503	validation_1-rmse:1.98766
[414]	validation_0-rmse:1.87425	validation_1-rmse:1.98688
[415]	validation_0-rmse:1.87260	validation_1-rmse:1.98546
[416]	validation_0-rmse:1.87146	validation_1-rmse:1.98433
[417]	validation_0-rmse:1.87103	validation_1-rmse:1.98398
[418]	validation_0-rmse:1.86986	validation_1-rmse:1.98304
[419]	validation_0-rmse:1.86897	validation_1-rmse:1.98257
