
Feature reduction based on permutation importance ...
[331]	validation_0-rmse:1.96475	validation_1-rmse:1.96475
[332]	validation_0-rmse:1.96331	validation_1-rmse:1.96331
[333]	validation_0-rmse:1.96130	validation_1-rmse:1.96130
[334]	validation_0-rmse:1.95946	validation_1-rmse:1.95946
[335]	validation_0-rmse:1.95865	validation_1-rmse:1.95865
[336]	validation_0-rmse:1.95729	validation_1-rmse:1.95729
[337]	validation_0-rmse:1.95430	validation_1-rmse:1.95430
[338]	validation_0-rmse:1.95367	validation_1-rmse:1.95367
[339]	validation_0-rmse:1.95259	validation_1-rmse:1.95259
[340]	validation_0-rmse:1.95164	validation_1-rmse:1.95164
[341]	validation_0-rmse:1.95061	validation_1-rmse:1.95061
[342]	validation_0-rmse:1.94937	validation_1-rmse:1.94937
[343]	validation_0-rmse:1.94865	validation_1-rmse:1.94865
[344]	validation_0-rmse:1.94762	validation_1-rmse:1.94762
[345]	validation_0-rmse:1.94663	validation_1-rmse:1.94663
[346]	validation_0-rmse:1.94469	validation_1-rmse:1.94469
[347]	validation_0-rmse:1.94378	validation_1-rmse:1.94378
[348]	validation_0-rmse:1.94206	validation_1-rmse:1.94206
[349]	validation_0-rmse:1.94084	validation_1-rmse:1.94084
[350]	validation_0-rmse:1.93946	validation_1-rmse:1.93946
[351]	validation_0-rmse:1.93731	validation_1-rmse:1.93731
[352]	validation_0-rmse:1.93607	validation_1-rmse:1.93607
[353]	validation_0-rmse:1.93553	validation_1-rmse:1.93553
[354]	validation_0-rmse:1.93433	validation_1-rmse:1.93433
[355]	validation_0-rmse:1.93283	validation_1-rmse:1.93283
[356]	validation_0-rmse:1.93222	validation_1-rmse:1.93222
[357]	validation_0-rmse:1.93152	validation_1-rmse:1.93152
[358]	validation_0-rmse:1.93035	validation_1-rmse:1.93035
[359]	validation_0-rmse:1.92781	validation_1-rmse:1.92781
[360]	validation_0-rmse:1.92628	validation_1-rmse:1.92628
[361]	validation_0-rmse:1.92487	validation_1-rmse:1.92487
[362]	validation_0-rmse:1.92446	validation_1-rmse:1.92446
[363]	validation_0-rmse:1.92359	validation_1-rmse:1.92359
[364]	validation_0-rmse:1.92302	validation_1-rmse:1.92302
[365]	validation_0-rmse:1.92190	validation_1-rmse:1.92190
